,gpwr,in-hand delta,game-weighted in-hand delta,distance-one delta,gihwr,gnswr,cs bias,cs var,cs mean,deck gihwr,deck gnswr,deck ihd form,deck ihd meas,deck ihdd
Buried in the Garden,0.5634753786425645,0.03232760686259162,0.030605739562172718,0.015421971744084662,0.5958029855051561,0.5394986250901033,0.0039050827792680917,13.09366458107075,16.664173425638932,0.5664838016297746,0.5613242678484957,0.0030683696554899154,0.0030084229872101576,5.994666827975788e-05
Call a Surprise Witness,0.5424464677120215,-0.012413743126357013,-0.01326445262803766,-0.006072061800234896,0.5300327245856645,0.5507785103100014,-0.006244769276837591,12.587168161743856,16.29220894200974,0.5377278935496554,0.5456900721225657,-0.0048246349711465256,-0.004718574162366096,-0.00010606080878042962
Candlestick,0.49853372434017595,0.001644401773112203,-0.01126405534924757,-0.04338560891076715,0.5001781261132882,0.49714130138851076,0.008782776747198994,16.80224811123194,17.497762863534675,0.507242030238343,0.49176234961658233,0.008433672073561625,0.008708305898167068,-0.0002746338246054428
Case File Auditor,0.5366448343452694,-0.0014224365128016059,-0.0038593904582802097,-0.010793485509184464,0.5352223978324678,0.5375113984912543,0.00035850433613668006,14.359548813079916,16.730390529925877,0.5373834576166708,0.5361125791996644,0.0003077011564821061,0.0007386232714013952,-0.00043092211491928907
Case of the Burning Masks,0.5514337148000514,-0.007956579785291518,-0.009329952570473199,0.003397207518500256,0.5434771350147599,0.5570462438311095,-0.0029421767199375197,14.087408093795144,16.496127397756062,0.5488412273636624,0.5532533965532963,-0.0025125681402934307,-0.002592487436389068,7.99192960956375e-05
Case of the Crimson Pulse,0.5340975552696222,-0.005393723480993096,-0.020451499026629905,-0.012729343581678099,0.5287038317886291,0.5380875202593193,0.003237542848664377,23.875117802159973,17.711919337414475,0.5383667200590612,0.5306933399210525,0.004364107323937604,0.004269164789438951,9.494253449865344e-05
Case of the Filched Falcon,0.5255380661741086,0.003150746242493674,-0.0025395730556126983,-0.01817393251256405,0.5286888124166023,0.5229384952347126,0.006405356693685996,18.120298830306773,17.81193350561191,0.5318936396972489,0.5204508321163661,0.006516248074232222,0.006355573523140312,0.0001606745510919095
Case of the Gateway Express,0.5639584706657877,0.002348763582220581,0.009692692837407368,0.013789308959547442,0.5663072342480083,0.5623709326338114,-0.01049111602932419,11.771556106599231,16.069471983549974,0.5561215529645198,0.5692084147172929,-0.0076851785227575395,-0.007836917701267931,0.00015173917851039193
Case of the Gorgon's Kiss,0.5101043024771839,-0.011533457234227551,-0.021285349241094043,-0.029561969812787248,0.4985708452429563,0.5178958785249458,0.0078062606495477365,12.660855828930753,16.35246762338117,0.5161180861893451,0.5059555775877501,0.006043977149091797,0.006013783712161214,3.0193436930583267e-05
Case of the Locked Hothouse,0.5407496775803969,0.013361183696365186,-0.01165920715076918,-0.0042605453499580115,0.5541108612767621,0.5308293530178029,0.018165339245791303,12.743927869022066,16.781463414634146,0.5547134435629273,0.5306639725862993,0.01379485014774124,0.013963765982530352,-0.00016891583478911149
Case of the Pilfered Proof,0.5110393392280405,-0.03600858892053738,-0.041136189137223,-0.03537670017973604,0.4750307503075031,0.5382541600818072,-0.0010074125335149643,14.993291317682766,16.89687046882552,0.5105668198725094,0.5113854211573917,-0.000893918765604682,-0.0004725193555310536,-0.0004213994100736284
